# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,
# Number of header lines: 42,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,
# Data supplier: ,,,,,,,,,,
# Location name: ObservatoriNegaraLangkawi,,,,,,,,,,
# Position (lat,,,,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,
# Filters per channel: ,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,
# SQM readout test ix (Information): i,,,,,,,,,,
# SQM readout test rx (Reading): r,,,,,,,,,,
# SQM readout test cx (Calibration): c,,,,,,,,,,
# SQM readout test Ix (Report Interval): 0000000000s,,,,,,,,,,
# DL time difference (seconds): -784886259,,,,,,,,,,
# DL retrieved at (U,C): 2024-12-07,24:00.6,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,,
# Comment: 10 degrees,,,,,,,,,,
# Comment: day 4,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,,,,,,,,,
# blank line,,,,,,,,,,
# U,C Date & ,ime,,,,,,,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,,
# END OF HEADER,,,,,,,,,,
07/12/2024,41:50.1,08/12/2024,4:41:50 AM,23.8,511495,1,20.06,,,
07/12/2024,42:00.1,08/12/2024,4:42:00 AM,23.5,511256,1,20.06,,,
07/12/2024,42:10.1,08/12/2024,4:42:10 AM,23.8,511766,1,20.06,,,
07/12/2024,42:20.1,08/12/2024,4:42:20 AM,23.8,511310,1,20.06,,,
07/12/2024,42:30.1,08/12/2024,4:42:30 AM,23.8,511422,1,20.06,,,
07/12/2024,42:40.1,08/12/2024,4:42:40 AM,23.8,511707,1,20.06,,,
07/12/2024,42:50.1,08/12/2024,4:42:50 AM,23.8,511026,1,20.06,,,
07/12/2024,43:00.1,08/12/2024,4:43:00 AM,23.8,510170,1,20.06,,,
07/12/2024,43:10.1,08/12/2024,4:43:10 AM,23.8,510269,1,20.06,,,
07/12/2024,43:20.1,08/12/2024,4:43:20 AM,23.8,510039,1,20.06,,,
07/12/2024,43:30.1,08/12/2024,4:43:30 AM,23.8,511076,1,20.06,,,
07/12/2024,43:40.1,08/12/2024,4:43:40 AM,23.8,510930,1,20.06,,,
07/12/2024,43:50.1,08/12/2024,4:43:50 AM,23.8,509870,1,20.05,,,
07/12/2024,44:00.1,08/12/2024,4:44:00 AM,23.8,509908,1,20.05,,,
07/12/2024,44:10.1,08/12/2024,4:44:10 AM,23.8,509463,1,20.05,,,
07/12/2024,44:20.1,08/12/2024,4:44:20 AM,23.8,510502,0,20.06,,,
07/12/2024,44:30.1,08/12/2024,4:44:30 AM,23.8,510808,0,20.06,,,
07/12/2024,44:40.1,08/12/2024,4:44:40 AM,23.8,510875,0,20.06,,,
07/12/2024,44:50.1,08/12/2024,4:44:50 AM,23.8,510432,0,20.06,,,
07/12/2024,45:00.1,08/12/2024,4:45:00 AM,23.8,510138,1,20.06,,,
07/12/2024,45:10.1,08/12/2024,4:45:10 AM,23.8,509863,1,20.05,,,
07/12/2024,45:20.1,08/12/2024,4:45:20 AM,23.8,509735,1,20.05,,,
07/12/2024,45:30.1,08/12/2024,4:45:30 AM,23.8,509288,1,20.05,,,
07/12/2024,45:40.1,08/12/2024,4:45:40 AM,23.8,510029,1,20.06,,,
07/12/2024,45:50.1,08/12/2024,4:45:50 AM,23.8,510165,1,20.06,,,
07/12/2024,46:00.1,08/12/2024,4:46:00 AM,23.8,509920,1,20.05,,,
07/12/2024,46:10.1,08/12/2024,4:46:10 AM,23.8,510207,1,20.06,,,
07/12/2024,46:20.1,08/12/2024,4:46:20 AM,23.8,510146,1,20.06,,,
07/12/2024,46:30.1,08/12/2024,4:46:30 AM,23.8,510404,1,20.06,,,
07/12/2024,46:40.1,08/12/2024,4:46:40 AM,23.8,510398,1,20.06,,,
07/12/2024,46:50.1,08/12/2024,4:46:50 AM,23.8,510490,1,20.06,,,
07/12/2024,47:00.1,08/12/2024,4:47:00 AM,23.8,510540,1,20.06,,,
07/12/2024,47:10.1,08/12/2024,4:47:10 AM,23.8,509878,1,20.05,,,
07/12/2024,47:20.1,08/12/2024,4:47:20 AM,23.8,507135,1,20.05,,,
07/12/2024,47:50.1,08/12/2024,4:47:50 AM,23.8,500307,0,20.04,,,
07/12/2024,48:00.1,08/12/2024,4:48:00 AM,23.8,508771,1,20.05,,,
07/12/2024,48:10.1,08/12/2024,4:48:10 AM,23.8,511454,1,20.06,,,
07/12/2024,48:20.1,08/12/2024,4:48:20 AM,23.8,512094,1,20.06,,,
07/12/2024,48:30.1,08/12/2024,4:48:30 AM,23.8,512100,1,20.06,,,
07/12/2024,48:40.1,08/12/2024,4:48:40 AM,23.8,512302,1,20.06,,,
07/12/2024,48:50.1,08/12/2024,4:48:50 AM,23.8,511967,1,20.06,,,
07/12/2024,49:00.1,08/12/2024,4:49:00 AM,23.8,511893,1,20.06,,,
07/12/2024,49:10.1,08/12/2024,4:49:10 AM,23.8,511501,1,20.06,,,
07/12/2024,49:20.1,08/12/2024,4:49:20 AM,23.8,512745,1,20.06,,,
07/12/2024,49:30.1,08/12/2024,4:49:30 AM,23.8,512577,1,20.06,,,
07/12/2024,49:40.1,08/12/2024,4:49:40 AM,23.8,512699,1,20.06,,,
07/12/2024,49:50.1,08/12/2024,4:49:50 AM,23.8,512498,1,20.06,,,
07/12/2024,50:00.1,08/12/2024,4:50:00 AM,23.8,512834,1,20.06,,,
07/12/2024,50:10.1,08/12/2024,4:50:10 AM,23.8,512318,1,20.06,,,
07/12/2024,50:20.1,08/12/2024,4:50:20 AM,23.8,513010,1,20.06,,,
07/12/2024,50:30.1,08/12/2024,4:50:30 AM,23.8,513080,1,20.06,,,
07/12/2024,50:40.1,08/12/2024,4:50:40 AM,23.8,512722,0,20.06,,,
07/12/2024,50:50.1,08/12/2024,4:50:50 AM,23.8,512246,0,20.06,,,
07/12/2024,51:00.1,08/12/2024,4:51:00 AM,23.8,512539,0,20.06,,,
07/12/2024,51:10.1,08/12/2024,4:51:10 AM,23.8,512798,0,20.06,,,
07/12/2024,51:20.1,08/12/2024,4:51:20 AM,23.8,512337,0,20.06,,,
07/12/2024,51:30.1,08/12/2024,4:51:30 AM,23.8,512782,0,20.06,,,
07/12/2024,51:40.1,08/12/2024,4:51:40 AM,23.8,512611,0,20.06,,,
07/12/2024,51:50.1,08/12/2024,4:51:50 AM,23.5,512498,0,20.06,,,
07/12/2024,52:00.1,08/12/2024,4:52:00 AM,23.8,512593,0,20.06,,,
07/12/2024,52:10.1,08/12/2024,4:52:10 AM,23.8,512435,0,20.06,,,
07/12/2024,52:20.1,08/12/2024,4:52:20 AM,23.8,512713,0,20.06,,,
07/12/2024,52:30.1,08/12/2024,4:52:30 AM,23.8,512518,1,20.06,,,
07/12/2024,52:40.1,08/12/2024,4:52:40 AM,23.8,512723,1,20.06,,,
07/12/2024,52:50.1,08/12/2024,4:52:50 AM,23.8,512959,1,20.06,,,
07/12/2024,53:00.1,08/12/2024,4:53:00 AM,23.8,513737,1,20.06,,,
07/12/2024,53:10.1,08/12/2024,4:53:10 AM,23.8,512417,1,20.06,,,
07/12/2024,53:20.1,08/12/2024,4:53:20 AM,23.8,511935,1,20.06,,,
07/12/2024,53:30.1,08/12/2024,4:53:30 AM,23.8,512197,1,20.06,,,
07/12/2024,53:40.1,08/12/2024,4:53:40 AM,23.8,512858,1,20.06,,,
07/12/2024,53:50.1,08/12/2024,4:53:50 AM,23.8,512612,1,20.06,,,
07/12/2024,54:00.1,08/12/2024,4:54:00 AM,23.5,512513,1,20.06,,,
07/12/2024,54:10.1,08/12/2024,4:54:10 AM,23.8,512520,1,20.06,,,
07/12/2024,54:20.1,08/12/2024,4:54:20 AM,23.8,512404,1,20.06,,,
07/12/2024,54:30.1,08/12/2024,4:54:30 AM,23.8,512141,1,20.06,,,
07/12/2024,54:40.1,08/12/2024,4:54:40 AM,23.8,512669,1,20.06,,,
07/12/2024,54:50.1,08/12/2024,4:54:50 AM,23.5,512332,1,20.06,,,
07/12/2024,55:00.1,08/12/2024,4:55:00 AM,23.5,513174,1,20.06,,,
07/12/2024,55:10.1,08/12/2024,4:55:10 AM,23.5,512947,1,20.06,,,
07/12/2024,55:20.1,08/12/2024,4:55:20 AM,23.8,513045,1,20.06,,,
07/12/2024,55:30.1,08/12/2024,4:55:30 AM,23.5,512206,1,20.06,,,
07/12/2024,55:40.1,08/12/2024,4:55:40 AM,23.8,513159,1,20.06,,,
07/12/2024,55:50.1,08/12/2024,4:55:50 AM,23.5,513292,1,20.06,,,
07/12/2024,56:00.1,08/12/2024,4:56:00 AM,23.5,513428,1,20.06,,,
07/12/2024,56:10.1,08/12/2024,4:56:10 AM,23.5,513218,1,20.06,,,
07/12/2024,56:20.1,08/12/2024,4:56:20 AM,23.5,513444,1,20.06,,,
07/12/2024,56:30.1,08/12/2024,4:56:30 AM,23.5,513759,1,20.06,,,
07/12/2024,56:40.1,08/12/2024,4:56:40 AM,23.5,513694,1,20.06,,,
07/12/2024,56:50.1,08/12/2024,4:56:50 AM,23.5,514281,1,20.07,,,
07/12/2024,57:00.1,08/12/2024,4:57:00 AM,23.5,514065,1,20.07,,,
07/12/2024,57:10.1,08/12/2024,4:57:10 AM,23.5,514054,1,20.07,,,
07/12/2024,57:20.1,08/12/2024,4:57:20 AM,23.8,514174,1,20.07,,,
07/12/2024,57:30.1,08/12/2024,4:57:30 AM,23.5,514356,1,20.07,,,
07/12/2024,57:40.1,08/12/2024,4:57:40 AM,23.5,514449,1,20.07,,,
07/12/2024,57:50.1,08/12/2024,4:57:50 AM,23.8,514754,1,20.07,,,
07/12/2024,58:00.1,08/12/2024,4:58:00 AM,23.5,514882,1,20.07,,,
07/12/2024,58:10.1,08/12/2024,4:58:10 AM,23.5,514137,1,20.07,,,
07/12/2024,58:20.1,08/12/2024,4:58:20 AM,23.5,513620,1,20.06,,,
07/12/2024,58:30.1,08/12/2024,4:58:30 AM,23.5,513385,1,20.06,,,
07/12/2024,58:40.1,08/12/2024,4:58:40 AM,23.5,513876,1,20.06,,,
07/12/2024,58:50.1,08/12/2024,4:58:50 AM,23.5,512977,1,20.06,,,
07/12/2024,59:00.1,08/12/2024,4:59:00 AM,23.5,512660,1,20.06,,,
07/12/2024,59:10.1,08/12/2024,4:59:10 AM,23.5,512148,1,20.06,,,
07/12/2024,59:20.1,08/12/2024,4:59:20 AM,23.5,512686,1,20.06,,,
07/12/2024,59:30.1,08/12/2024,4:59:30 AM,23.5,512676,0,20.06,,,
07/12/2024,59:40.1,08/12/2024,4:59:40 AM,23.5,513198,0,20.06,,,
07/12/2024,59:50.1,08/12/2024,4:59:50 AM,23.5,513181,0,20.06,,,
07/12/2024,00:00.1,08/12/2024,5:00:00 AM,23.8,513220,0,20.06,,,
